id,,,,,,,
512,,,,,,,"###http://libsvr35.lib.virginia.edu/metadata/000003010.xml######http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wcs#########javascript:addWMSLayer([[""UVA Geoserver WMS"",""http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wms"", ""UVA Geoserver WMS"",""512""]])###/google.kml?uuid=72cd2f2e-06d7-429c-9f1f-af597134c2fb&layers=UVA Geoserver WMS######javascript:addWMSServerLayers(""http://libsvr35.lib.virginia.edu/ows/wms"")"
516,,,,,,,"###http://libsvr35.lib.virginia.edu/metadata/000003016.xml######http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wcs#########javascript:addWMSLayer([[""UVA Geoserver WMS"",""http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wms"", ""UVA Geoserver WMS"",""516""]])###/google.kml?uuid=1881eeb9-3d0e-4872-badd-506c6448ea7b&layers=UVA Geoserver WMS######javascript:addWMSServerLayers(""http://libsvr35.lib.virginia.edu/ows/wms"")"
373,,,,,,,
367,,,,,,,
534,,,,,,,"###http://libsvr35.lib.virginia.edu/metadata/000003056.xml######http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wcs#########javascript:addWMSLayer([[""UVA Geoserver WMS"",""http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wms"", ""UVA Geoserver WMS"",""534""]])###/google.kml?uuid=1a4ea373-21a3-49ab-a1e1-3402fec834be&layers=UVA Geoserver WMS######javascript:addWMSServerLayers(""http://libsvr35.lib.virginia.edu/ows/wms"")"
359,,,,,,,
540,,,,,,,"###http://libsvr35.lib.virginia.edu/metadata/000003045.xml######http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wcs#########javascript:addWMSLayer([[""UVA Geoserver WMS"",""http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wms"", ""UVA Geoserver WMS"",""540""]])###/google.kml?uuid=5442d5ec-1f3d-4709-b10c-70cec6e0b02d&layers=UVA Geoserver WMS######javascript:addWMSServerLayers(""http://libsvr35.lib.virginia.edu/ows/wms"")"
360,,,,,,,
549,,,,,,,"###http://libsvr35.lib.virginia.edu/metadata/000003164.xml######http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wcs#########javascript:addWMSLayer([[""UVA Geoserver WMS"",""http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wms"", ""UVA Geoserver WMS"",""549""]])###/google.kml?uuid=4a547ba6-d1a2-46bf-83d8-3bbc3c64cba3&layers=UVA Geoserver WMS######javascript:addWMSServerLayers(""http://libsvr35.lib.virginia.edu/ows/wms"")"
558,,,,,,,"###http://libsvr35.lib.virginia.edu/metadata/000003009.xml######http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wcs#########javascript:addWMSLayer([[""UVA Geoserver WMS"",""http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wms"", ""UVA Geoserver WMS"",""558""]])###/google.kml?uuid=0f906961-351e-4cd9-b0db-b541b4cd3e80&layers=UVA Geoserver WMS######javascript:addWMSServerLayers(""http://libsvr35.lib.virginia.edu/ows/wms"")"
370,,,,,,,
533,,,,,,,"###http://libsvr35.lib.virginia.edu/metadata/000003482.xml######http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wcs#########javascript:addWMSLayer([[""UVA Geoserver WMS"",""http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wms"", ""UVA Geoserver WMS"",""533""]])###/google.kml?uuid=8077194b-2399-4af3-912b-c32479c80881&layers=UVA Geoserver WMS######javascript:addWMSServerLayers(""http://libsvr35.lib.virginia.edu/ows/wms"")"
